anchor_date,actual_trading_date,sector,sector_score,metric,current_value,five_year_average,metric_coefficient,metric_weight,source,comment,status
2026-05-20,2026-05-20,Mining,1.1721,fcf_yield,0.029732,0.049783,1.6744,0.2353,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-05-20,2026-05-20,Mining,1.1721,pb,3.2825,2.6303,1.248,0.2353,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-05-20,2026-05-20,Mining,1.1721,pe,14.5044,20.8176,0.6967,0.2353,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-05-30,2026-05-29,Mining,1.2468,ev_ebitda,10.3836,8.865475,1.1712,0.2941,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-05-30,2026-05-29,Mining,1.2468,fcf_yield,0.027058,0.049783,1.8399,0.2353,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-05-30,2026-05-29,Mining,1.2468,pb,3.3565,2.6303,1.2761,0.2353,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-05-30,2026-05-29,Mining,1.2468,pe,14.9642,20.8176,0.7188,0.2353,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Mining,1.6207,ev_ebitda,14.1877,8.865475,1.6003,0.2941,build_fy_norm.py --current over SEC EDGAR; fyn_mining_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_mining_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Mining,1.6207,fcf_yield,0.031488,0.049783,1.581,0.2353,build_fy_norm.py --current over SEC EDGAR; fyn_mining_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_mining_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Mining,1.6207,pb,5.0852,2.6303,1.9333,0.2353,build_fy_norm.py --current over SEC EDGAR; fyn_mining_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_mining_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Mining,1.6207,pe,28.5896,20.8176,1.3733,0.2353,build_fy_norm.py --current over SEC EDGAR; fyn_mining_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_mining_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-09-12,2026-09-11,REIT,1.108,pb,2.60065,2.1321,1.2198,0.5556,build_fy_norm.py --current over SEC EDGAR; fyn_reit_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_reit_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_reit_norm_summary.csv; aggregate=median,ok
2026-09-12,2026-09-11,REIT,1.108,ps,10.4475,10.7905,0.9682,0.4444,build_fy_norm.py --current over SEC EDGAR; fyn_reit_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_reit_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_reit_norm_summary.csv; aggregate=median,ok
2026-02-28,2026-02-27,Semiconductors,1.5615,ps,10.9691,9.5615,1.1472,0.2667,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-02-28,2026-02-27,Semiconductors,1.5615,pb,11.8294,8.8324,1.3393,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-02-28,2026-02-27,Semiconductors,1.5615,ev_ebitda,32.3019,13.6494,2.3665,0.3333,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-02-28,2026-02-27,Semiconductors,1.5615,gross_margin,0.54925,0.5524,0.9943,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-03-10,2026-03-10,Semiconductors,1.5699,ps,10.7228,9.5615,1.1215,0.2667,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-03-10,2026-03-10,Semiconductors,1.5699,pb,11.0124,8.8324,1.2468,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-03-10,2026-03-10,Semiconductors,1.5699,ev_ebitda,33.6844,13.6494,2.4678,0.3333,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-03-10,2026-03-10,Semiconductors,1.5699,gross_margin,0.54925,0.5524,0.9943,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-03-20,2026-03-20,Semiconductors,1.4822,ps,9.6078,9.5615,1.0048,0.2667,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-03-20,2026-03-20,Semiconductors,1.4822,pb,10.4397,8.8324,1.182,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-03-20,2026-03-20,Semiconductors,1.4822,ev_ebitda,31.4829,13.6494,2.3065,0.3333,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-03-20,2026-03-20,Semiconductors,1.4822,gross_margin,0.5773,0.5524,1.0451,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-03-30,2026-03-30,Semiconductors,1.4466,ps,9.5682,9.5615,1.0007,0.2667,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
